Model,Dataset,Emb_size,L2,HR@5,HR@10,HR@20,HR@50,NDCG@5,NDCG@10,NDCG@20,NDCG@50
BPRMF,ml,32,1e-6,0.5139,0.6844,0.8396,0.9724,0.3523,0.4074,0.4469,0.4738
BPRMF,ml,32,1e-5,0.4366,0.6119,0.7980,0.9641,0.2946,0.3514,0.3984,0.4319
BPRMF,ml,32,1e-4,0.2937,0.4409,0.6243,0.8889,0.1942,0.2419,0.2880,0.3408
BPRMF,ml,32,1e-3,0.0722,0.1336,0.2469,0.4871,0.0441,0.0637,0.0921,0.1395
BPRMF,ml,32,1e-2,0.0608,0.1217,0.2377,0.5055,0.0351,0.0546,0.0837,0.1363
BPRMF,ml,64,1e-6,0.5091,0.6811,0.8406,0.9694,0.3509,0.4069,0.4474,0.4735
BPRMF,ml,64,1e-5,0.4326,0.6104,0.7934,0.9646,0.2925,0.3501,0.3963,0.4310
BPRMF,ml,64,1e-4,0.2912,0.4430,0.6240,0.8892,0.1910,0.2400,0.2856,0.3383
BPRMF,ml,64,1e-3,0.0745,0.1397,0.2485,0.4942,0.0456,0.0666,0.0938,0.1422
BPRMF,ml,64,1e-2,0.0651,0.1288,0.2392,0.5109,0.0380,0.0584,0.0860,0.1394
BPRMF,ml,128,1e-6,0.5071,0.6886,0.8416,0.9682,0.3486,0.4073,0.4462,0.4717
BPRMF,ml,128,1e-5,0.4381,0.6162,0.7970,0.9634,0.2938,0.3511,0.3968,0.4304
BPRMF,ml,128,1e-4,0.2982,0.4455,0.6255,0.8962,0.1959,0.2435,0.2888,0.3429
BPRMF,ml,128,1e-3,0.0707,0.1371,0.2485,0.4894,0.0416,0.0631,0.0910,0.1385
BPRMF,ml,128,1e-2,0.0614,0.1210,0.2285,0.4949,0.0350,0.0540,0.0809,0.1333
BPRMF,ml,256,1e-6,0.5036,0.6755,0.8291,0.9629,0.3510,0.4066,0.4456,0.4727
BPRMF,ml,256,1e-5,0.4384,0.6164,0.7939,0.9593,0.2952,0.3525,0.3976,0.4311
BPRMF,ml,256,1e-4,0.2980,0.4439,0.6219,0.8939,0.1962,0.2431,0.2879,0.3423
BPRMF,ml,256,1e-3,0.0772,0.1475,0.2682,0.5116,0.0457,0.0683,0.0986,0.1467
BPRMF,ml,256,1e-2,0.0644,0.1313,0.2414,0.5091,0.0382,0.0596,0.0872,0.1397
BPRMF,Amazon_Electronics,32,1e-6,0.4139,0.5352,0.6606,0.8291,0.3051,0.3442,0.3759,0.4094
BPRMF,Amazon_Electronics,32,1e-5,0.3163,0.4081,0.5120,0.6873,0.2336,0.2632,0.2894,0.3240
BPRMF,Amazon_Electronics,32,1e-4,0.5256,0.5752,0.6472,0.7726,0.4805,0.4965,0.5147,0.5394
BPRMF,Amazon_Electronics,32,1e-3,0.0779,0.1506,0.2675,0.5001,0.0457,0.0689,0.0983,0.1442
BPRMF,Amazon_Electronics,32,1e-2,0.0644,0.1326,0.2549,0.5008,0.0371,0.0589,0.0895,0.1381
BPRMF,Amazon_Electronics,64,1e-6,0.4129,0.5341,0.6593,0.8282,0.3045,0.3437,0.3754,0.4089
BPRMF,Amazon_Electronics,64,1e-5,0.3073,0.3960,0.4986,0.6797,0.2277,0.2563,0.2822,0.3179
BPRMF,Amazon_Electronics,64,1e-4,0.5125,0.5631,0.6372,0.7665,0.4604,0.4768,0.4955,0.521
BPRMF,Amazon_Electronics,64,1e-3,0.0772,0.1467,0.2613,0.4997,0.0458,0.068,0.0967,0.1438
BPRMF,Amazon_Electronics,64,1e-2,0.0615,0.1266,0.2477,0.501,0.0353,0.0561,0.0864,0.1365
BPRMF,Amazon_Electronics,128,1e-6,0.4127,0.5341,0.6591,0.8280,0.3046,0.3438,0.3754,0.4090
BPRMF,Amazon_Electronics,128,1e-5,0.3068,0.3939,0.4947,0.6730,0.2270,0.2551,0.2805,0.3157
BPRMF,Amazon_Electronics,128,1e-4,0.4224,0.4771,0.5638,0.7075,0.3493,0.3669,0.3889,0.4173
BPRMF,Amazon_Electronics,128,1e-3,0.0711,0.1253,0.2239,0.4985,0.0452,0.0625,0.0872,0.1412
BPRMF,Amazon_Electronics,128,1e-2,0.058,0.1204,0.2398,0.5027,0.0335,0.0534,0.0833,0.1352
BPRMF,Amazon_Electronics,256,1e-6,0.4139,0.5348,0.6618,0.8305,0.3053,0.3444,0.3765,0.4100
BPRMF,Amazon_Electronics,256,1e-5,0.3053,0.3921,0.4942,0.6731,0.2259,0.2539,0.2797,0.3150
BPRMF,Amazon_Electronics,256,1e-4,0.4299,0.4843,0.5712,0.7164,0.3535,0.3711,0.3931,0.4218
